"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.4.9.0_CDS_at",7.13615676616471,7.13333377066255,7.78580591321108,7.83284204046657,7.51524297181734,7.91237039544942
"AF528102.1_s_at",4.48244229308775,4.70904618587192,5.20805417236781,5.1256753515749,4.24884691880659,4.4099698071757
"Pf.9.201.0_CDS_at",8.72680382264908,8.74744567814383,8.43529823642985,8.06681198580763,8.06401401368223,8.45499790872707
"Pf.12.47.0_CDS_at",7.53558715820454,7.53919963044556,8.00343901214356,8.10183858541271,8.14822965059863,8.4122500419542
"Pf.5.202.0_CDS_at",4.96098055471868,4.90420510747291,4.42194453543657,4.21651183556367,4.50721417070649,5.02658141585999
"Pf.11.59.0_CDS_at",3.97308086693192,3.77443061987346,4.0502425262744,3.86736671650517,3.31785248256989,3.9160313698811
"Pf.14.692.0_CDS_at",8.26625589835385,8.09256239607091,7.79019679145748,7.38381646474017,7.90275797900973,8.07521862942565
"Pf.8.125.0_CDS_at",6.41400697706332,6.31784344063215,5.72437878336084,5.56109353140411,5.67323122650825,5.93460012966838
"Pf.12.215.0_CDS_at",5.51710203057693,5.75022929086739,5.2197205879214,5.23962004662071,4.75869913244353,4.89336111316136
"Pf.14.139.0_CDS_a_at",3.62589253831498,3.57023200596352,3.74612669496437,3.75760907388611,4.54372282954325,4.23377613510092
"Pf.14.191.0_CDS_at",3.28229262135974,3.21358707096419,3.69585583182158,3.5794771482035,3.59765143757391,4.01727633043036
"Pf.8.128.0_CDS_at",6.8551279418127,6.77270283026019,7.23409136228563,7.00430293296095,7.67828261890647,7.52157797943595
"Pf.4.110.0_CDS_at",5.79160573295129,5.67959345765024,5.60609193947174,5.4977033428794,5.1228730557778,5.77145198953726
"Pf.14.397.0_CDS_at",8.13266399454469,8.06465941867329,7.37927673796878,7.37873691234822,7.17228260672313,7.33101609325269
"Pf.12.145.0_CDS_at",11.032664358524,10.9678375245366,11.5748448936677,11.4241009276383,11.985999826206,11.8301160493108
"Pf.UN_4.1.0_CDS_at",5.97449847388278,6.17033668428938,6.47560280748789,6.61799699804985,6.6358556280722,6.93516659047289
"Pf.9.26.0_CDS_a_at",8.54845256312385,8.3854302316695,8.04393787939647,7.86828739246755,8.57177800387779,8.71838218939713
"Pf.9.291.0_CDS_at",4.84983398779177,5.15456110521587,4.81225397728,4.35901360935196,4.22090102501834,4.50628797842182
"Pf.12.269.0_CDS_at",7.04703668280314,6.92107360937813,6.94810387510525,6.79536883532508,6.73532100178436,7.32969200709158
"AFFX-Pf-Act-M_s_at",9.83970741248347,9.94393740401381,9.98768756549544,10.0000895182768,9.94209738805245,10.1658446923079
"Pf.13_1.371.0_CDS_at",5.16745651915174,5.24642357060008,4.45843201189598,4.50196959631623,4.38432563673784,4.60297730442594
"Pf.12.673.0_at",8.08543767278949,8.1172585776351,7.93382153545425,7.72175210581686,8.5936643265421,8.52901949331458
"Pf.13_1.78.0_CDS_at",8.43069712167628,8.52898922945332,8.8125876275873,8.50852836116583,9.23473670991591,9.2920533270332
"Pf.6.111.0_CDS_at",10.0130461242796,10.1205045220943,9.469224356699,9.32209293174982,9.16084260899747,9.45537454943447
"Pf.10.419.0_at",4.00312914133504,3.9759821452005,3.52934716542489,3.47866721163184,4.34931376672667,3.92033055028425
"L40602.1_s_at",9.65904769316902,9.63171305863331,10.2161365131469,10.1613570912231,10.5830864471795,10.3518538049366
"Pf.3.174.0_CDS_at",4.79272039875611,4.46110933078665,5.03824864498123,4.93032334938463,4.61736792527649,5.01444768069363
